x1	y1	e1	x2	y2	e2
11.3	2.06E+02	2.08E+00	9.8	1.18E+02	4.36E+00
11.3	2.06E+02	2.08E+00	9.8	1.21E+02	4.32E+00
11.4	1.99E+02	2.08E+00	9.9	1.31E+02	4.40E+00
11.5	2.04E+02	2.11E+00	10	1.21E+02	4.26E+00
11.5	2.00E+02	2.11E+00	10	1.17E+02	4.28E+00
11.6	2.02E+02	2.11E+00	10.1	1.16E+02	4.20E+00
11.7	2.01E+02	2.12E+00	10.2	1.27E+02	4.32E+00
11.7	1.99E+02	2.13E+00	10.2	1.22E+02	4.27E+00
11.8	2.03E+02	2.12E+00	10.3	1.23E+02	4.18E+00
11.9	2.04E+02	2.11E+00	10.4	1.21E+02	4.24E+00
11.9	2.01E+02	2.13E+00	10.4	1.23E+02	4.21E+00
12	2.03E+02	2.13E+00	10.5	1.25E+02	4.27E+00
12.1	2.00E+02	2.14E+00	10.6	1.21E+02	4.20E+00
12.1	1.94E+02	2.14E+00	10.6	1.18E+02	4.23E+00
12.2	2.01E+02	2.14E+00	10.7	1.21E+02	4.24E+00
12.3	1.98E+02	2.14E+00	10.8	1.17E+02	4.22E+00
12.3	2.01E+02	2.15E+00	10.8	1.16E+02	4.25E+00
12.4	1.99E+02	2.14E+00	10.9	1.26E+02	4.34E+00
12.5	2.00E+02	2.15E+00	11	1.20E+02	4.37E+00
12.5	2.01E+02	2.14E+00	11	1.21E+02	4.28E+00
12.6	1.99E+02	2.15E+00	11.1	1.13E+02	4.33E+00
12.7	2.00E+02	2.14E+00	11.2	1.18E+02	4.32E+00
12.7	1.98E+02	2.14E+00	11.2	1.24E+02	4.38E+00
12.8	1.95E+02	2.14E+00	11.3	1.24E+02	4.39E+00
12.9	1.94E+02	2.12E+00	11.4	1.27E+02	4.43E+00
12.9	1.99E+02	2.16E+00	11.4	1.22E+02	4.40E+00
13	2.03E+02	2.15E+00	11.5	1.23E+02	4.35E+00
13.1	1.96E+02	2.15E+00	11.6	1.23E+02	4.43E+00
13.1	1.96E+02	2.16E+00	11.6	1.20E+02	4.38E+00
13.2	1.97E+02	2.14E+00	11.7	1.26E+02	4.49E+00
